src,dst,edge_type,rule_id,confidence,evidence
IfcWallStandardCase_3jjW3rL656ex34Gws22EfM,IfcDoor_0pGAjlJMP3ifYPATVF5xAR,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcWallStandardCase_16DNNqzfP2thtfaOflvsKA,IfcDoor_1M$gxUrX1Fiwe3P64ww7U5,requires_before,R2_WALL_BEFORE_DOOR,0.85,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_31Quw2HAvFqv$9_JgCuemp,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0q1clcN4jF4gdikC9OySy7,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_20AsUDMgH0JwAitydKgsOm,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0hRh9WB$jCLwlAiq3vfmg9,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_34zPS2PUTBDOe7g7RIRXK0,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_06JZMOVBX8VucSQwQ3o$8d,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0nsN_jkIrBQBuGFMg_zMEg,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_1qMEiq1Qz6guq8g1GCODiJ,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3xdLwxTMD7bw4hWoOQL41M,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_3CS1rsE3bB7vMHAdjyaamh,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0nsN_jkIrBQBuGFMg_zMEg,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2in0QvfYXEawl1f3MP1bq2,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0oTQ6V1VbChulreA_hfmUa,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3xdLwxTMD7bw4hWoOQL41M,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2OHMT7B69F5PRG_f3rMcjF,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_22oN_bO9T4jO5eG4GKW7be,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_2SfSpj_pX9nvTeCOxeKqTd,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_2CxE0$jXr8iOH1VC2gLCXX,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_3ePWkSzvLApwXTt3b0I2nV,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_0q1clcN4jF4gdikC9OySy7,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0oTQ6V1VbChulreA_hfmUa,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3F58AqxJfF$QkuoceQhWg3,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_23pmL_2aH88OVqWp_5Lfkf,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_3qFc3Wrr9BBPJyb2wB$4Ra,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_0hRh9WB$jCLwlAiq3vfmg9,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_0VzptM87L6uOjQj08tTXIQ,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_20bTaetQDApP5w8egFxj13,IfcMember_3CS1rsE3bB7vMHAdjyaamh,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_3jZHeNcfvDMf9wG$wx9XqG,IfcMember_06JZMOVBX8VucSQwQ3o$8d,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
IfcBeam_0eaC0nL3XAOfFxRXK_2iAr,IfcMember_1nGDFBBHvBJ9NmlweQO0fX,requires_before,R3_BEAM_BEFORE_MEMBER,0.7,adjacent|has_type|in_storey
